order_id,order_date,region,product,quantity,unit_price
1001,2026-11-24,North,Widget A,12,19.99
1002,2026-02-22,North,Widget E,,41.8
1003,2026-04-30,North,Widget E,4,41.8
1004,2026-08-03,South,Widget D,10,15.25
1005,2026-03-23,West,Widget C,5,32.75
1006,2026-06-22,North,Widget A,7,19.99
1007,2026-11-06,East,Widget A,12,19.99
1008,2026-07-13,North,Widget E,5,41.8
1009,2026-07-05,South,Widget A,1,19.99
1010,2026-02-10,South,Widget A,7,19.99
1011,2026-07-06,South,Widget C,6,32.75
1012,2026-12-16,North,Widget E,11,41.8
1013,2026-03-25,West,Widget D,5,15.25
1014,2026-10-13,South,Widget C,14,
1015,2026-01-17,East,Widget D,5,15.25
1016,2026-10-18,East,Widget B,11,24.5
1017,2026-11-26,West,Widget B,5,24.5
1018,2026-10-03,East,Widget E,7,41.8
1019,2026-04-23,South,Widget E,8,
1020,2026-02-26,South,Widget B,13,24.5
1021,2026-07-17,West,Widget E,8,41.8
1022,2026-01-06,North,Widget E,13,41.8
1023,2026-02-27,East,Widget D,3,15.25
1024,2026-05-15,South,Widget E,15,41.8
1025,2026-11-24,South,Widget B,6,24.5
1026,2026-09-29,North,Widget E,6,41.8
1027,2026-07-05,East,Widget B,1,24.5
1028,2026-02-10,North,Widget D,14,15.25
1029,2026-03-06,South,Widget D,9,15.25
1030,2026-11-07,West,Widget B,15,24.5
1031,2026-04-13,East,Widget D,11,15.25
1032,2026-09-22,West,Widget A,4,19.99
1033,2026-10-29,South,Widget E,,41.8
1034,2026-01-31,South,Widget A,,19.99
1035,2026-09-21,South,Widget C,11,32.75
1036,2026-10-20,West,Widget B,13,24.5
1037,2026-02-18,North,Widget D,6,15.25
1038,2026-01-28,North,Widget A,7,19.99
1039,2026-02-25,South,Widget B,4,24.5
1040,2026-04-04,East,Widget D,4,15.25
1041,2026-10-09,North,Widget A,11,19.99
1042,2026-02-17,South,Widget B,7,24.5
1043,2026-07-25,North,Widget B,,24.5
1044,2026-08-21,East,Widget D,12,15.25
1045,2026-10-12,West,Widget B,4,24.5
1046,2026-10-24,North,Widget C,,32.75
1047,2026-09-29,South,Widget A,9,19.99
1048,2026-11-01,North,Widget B,7,24.5
1049,2026-05-07,North,Widget E,2,41.8
1050,2026-09-25,East,Widget C,4,32.75
1051,2026-05-16,West,Widget B,11,24.5
1052,2026-02-07,North,Widget D,10,15.25
1053,2026-02-07,South,Widget E,5,41.8
1054,2026-02-05,South,Widget C,5,32.75
1055,2026-12-27,East,Widget E,13,
1056,2026-10-11,East,Widget A,15,19.99
1057,2026-02-24,South,Widget C,5,32.75
1058,2026-04-15,East,Widget E,8,41.8
1059,2026-01-27,North,Widget D,14,
1060,2026-03-08,East,Widget B,12,24.5
1061,2026-10-15,North,Widget A,2,19.99
1062,2026-03-18,North,Widget C,10,32.75
1063,2026-01-22,East,Widget C,15,32.75
1064,2026-01-21,East,Widget B,11,24.5
1065,2026-10-14,West,Widget E,12,41.8
1066,2026-03-25,South,Widget D,1,15.25
1067,2026-07-30,South,Widget C,3,32.75
1068,2026-01-20,West,Widget B,4,24.5
1069,2026-06-06,South,Widget B,1,24.5
1070,2026-05-23,North,Widget C,6,32.75
1071,2026-10-02,East,Widget A,2,19.99
1072,2026-10-25,East,Widget A,2,19.99
1073,2026-06-10,West,Widget E,9,41.8
1074,2026-04-08,East,Widget A,12,19.99
1075,2026-10-03,South,Widget C,7,32.75
1076,2026-06-19,East,Widget A,12,19.99
1077,2026-12-08,West,Widget C,7,32.75
1078,2026-04-09,West,Widget D,11,15.25
1079,2026-10-19,East,Widget D,9,15.25
1080,2026-04-18,West,Widget E,10,41.8
1081,2026-08-15,South,Widget E,8,41.8
1082,2026-03-28,North,Widget C,9,32.75
1083,2026-02-17,South,Widget C,4,32.75
1084,2026-01-24,South,Widget D,10,15.25
1085,2026-08-01,South,Widget D,8,15.25
1086,2026-12-19,North,Widget A,13,19.99
1087,2026-12-23,West,Widget A,9,19.99
1088,2026-08-22,South,Widget D,11,15.25
1089,2026-06-12,West,Widget E,14,41.8
1090,2026-10-08,West,Widget B,12,24.5
1091,2026-05-07,East,Widget E,8,41.8
1092,2026-02-09,East,Widget B,5,24.5
1093,2026-02-11,South,Widget B,4,24.5
1094,2026-04-20,North,Widget D,7,15.25
1095,2026-02-01,South,Widget D,7,15.25
1096,2026-12-23,North,Widget E,7,41.8
1097,2026-06-02,West,Widget D,9,15.25
1098,2026-11-05,South,Widget D,4,15.25
1099,2026-07-19,East,Widget D,12,15.25
1100,2026-03-07,North,Widget D,10,
1101,2026-11-26,West,Widget B,14,
1102,2026-07-14,East,Widget B,8,24.5
1103,2026-07-14,East,Widget D,5,15.25
1104,2026-10-04,North,Widget C,4,32.75
1105,2026-11-30,North,Widget A,4,
1106,2026-03-20,South,Widget B,8,24.5
1107,2026-04-22,West,Widget C,13,32.75
1108,2026-02-28,South,Widget C,2,32.75
1109,2026-10-22,West,Widget D,12,15.25
1110,2026-11-18,South,Widget A,12,19.99
1111,2026-11-04,North,Widget E,,41.8
1112,2026-12-05,East,Widget A,9,
1113,2026-08-04,West,Widget A,7,19.99
1114,2026-08-24,South,Widget D,3,15.25
1115,2026-05-19,West,Widget D,7,15.25
1116,2026-06-15,South,Widget A,5,19.99
1117,2026-08-26,West,Widget C,1,32.75
1118,2026-09-07,South,Widget C,13,32.75
1119,2026-11-02,East,Widget E,1,41.8
1120,2026-05-04,West,Widget D,9,15.25
1121,2026-11-27,West,Widget D,,15.25
1122,2026-07-27,South,Widget C,11,32.75
1123,2026-09-29,East,Widget D,12,15.25
1124,2026-08-21,East,Widget C,5,32.75
1125,2026-06-11,North,Widget E,13,41.8
1126,2026-09-05,East,Widget E,13,41.8
1127,2026-02-21,South,Widget C,4,32.75
1128,2026-12-29,South,Widget C,1,32.75
1129,2026-12-24,South,Widget D,2,15.25
1130,2026-08-29,West,Widget D,6,
1131,2026-09-02,North,Widget A,7,19.99
1132,2026-12-18,North,Widget B,3,24.5
1133,2026-02-13,South,Widget A,9,19.99
1134,2026-11-13,South,Widget E,7,41.8
1135,2026-10-29,West,Widget C,10,32.75
1136,2026-02-20,South,Widget B,5,24.5
1137,2026-03-30,North,Widget B,1,24.5
1138,2026-08-29,East,Widget A,4,19.99
1139,2026-08-21,North,Widget B,15,24.5
1140,2026-10-29,South,Widget D,2,15.25
1141,2026-05-17,South,Widget A,1,19.99
1142,2026-10-19,East,Widget D,2,15.25
1143,2026-07-26,East,Widget E,9,41.8
1144,2026-01-21,West,Widget C,10,32.75
1145,2026-12-12,North,Widget C,,32.75
1146,2026-08-29,West,Widget C,3,32.75
1147,2026-09-09,North,Widget D,6,15.25
1148,2026-02-23,South,Widget C,7,32.75
1149,2026-07-25,North,Widget D,2,15.25
1150,2026-07-26,North,Widget E,8,41.8
1151,2026-07-05,West,Widget D,,15.25
1152,2026-03-09,East,Widget D,15,15.25
1153,2026-11-19,South,Widget B,5,24.5
1154,2026-02-17,South,Widget A,8,19.99
1155,2026-03-20,West,Widget C,9,32.75
1156,2026-09-05,West,Widget B,8,24.5
1157,2026-11-03,South,Widget A,5,19.99
1158,2026-06-24,East,Widget A,5,19.99
1159,2026-10-24,West,Widget B,8,24.5
1160,2026-10-10,West,Widget D,15,15.25
1161,2026-12-24,South,Widget E,7,41.8
1162,2026-01-23,East,Widget D,12,15.25
1163,2026-12-06,South,Widget D,1,15.25
1164,2026-06-19,North,Widget D,2,15.25
1165,2026-03-15,West,Widget B,2,24.5
1166,2026-06-23,West,Widget A,14,19.99
1167,2026-10-01,West,Widget C,11,32.75
1168,2026-10-05,North,Widget E,2,41.8
1169,2026-05-28,South,Widget A,7,19.99
1170,2026-12-27,North,Widget D,3,15.25
1171,2026-01-24,East,Widget A,5,19.99
1172,2026-05-06,West,Widget E,11,41.8
1173,2026-02-10,West,Widget E,11,41.8
1174,2026-03-15,South,Widget D,11,15.25
1175,2026-01-05,West,Widget C,11,32.75
1176,2026-06-26,East,Widget D,12,15.25
1177,2026-04-12,West,Widget D,2,15.25
1178,2026-10-22,East,Widget C,1,32.75
1179,2026-05-21,North,Widget E,14,41.8
